arfcn;name;uplink;downlink
466;GSM-750;752.8;782.8
467;GSM-750;753;783
468;GSM-750;753.2;783.2
469;GSM-750;753.4;783.4
470;GSM-750;753.6;783.6
471;GSM-750;753.8;783.8
472;GSM-750;754;784
473;GSM-750;754.2;784.2
474;GSM-750;754.4;784.4
475;GSM-750;754.6;784.6
476;GSM-750;754.8;784.8
477;GSM-750;755;785
478;GSM-750;755.2;785.2
479;GSM-750;755.4;785.4
480;GSM-750;755.6;785.6
481;GSM-750;755.8;785.8
482;GSM-750;756;786
483;GSM-750;756.2;786.2
484;GSM-750;756.4;786.4
485;GSM-750;756.6;786.6
486;GSM-750;756.8;786.8
487;GSM-750;757;787
488;GSM-750;757.2;787.2
489;GSM-750;757.4;787.4
490;GSM-750;757.6;787.6
491;GSM-750;757.8;787.8
492;GSM-750;758;788
493;GSM-750;758.2;788.2
494;GSM-750;758.4;788.4
495;GSM-750;758.6;788.6
496;GSM-750;758.8;788.8
497;GSM-750;759;789
498;GSM-750;759.2;789.2
499;GSM-750;759.4;789.4
500;GSM-750;759.6;789.6
501;GSM-750;759.8;789.8
502;GSM-750;760;790
503;GSM-750;760.2;790.2
504;GSM-750;760.4;790.4
505;GSM-750;760.6;790.6
506;GSM-750;760.8;790.8
507;GSM-750;761;791
508;GSM-750;761.2;791.2
509;GSM-750;761.4;791.4
510;GSM-750;761.6;791.6
511;GSM-750;761.8;791.8
512;GSM-1900;1850.2;1930.2
513;GSM-1900;1850.4;1930.4
514;GSM-1900;1850.6;1930.6
515;GSM-1900;1850.8;1930.8
516;GSM-1900;1851;1931
517;GSM-1900;1851.2;1931.2
518;GSM-1900;1851.4;1931.4
519;GSM-1900;1851.6;1931.6
520;GSM-1900;1851.8;1931.8
521;GSM-1900;1852;1932
522;GSM-1900;1852.2;1932.2
523;GSM-1900;1852.4;1932.4
524;GSM-1900;1852.6;1932.6
525;GSM-1900;1852.8;1932.8
526;GSM-1900;1853;1933
527;GSM-1900;1853.2;1933.2
528;GSM-1900;1853.4;1933.4
529;GSM-1900;1853.6;1933.6
530;GSM-1900;1853.8;1933.8
531;GSM-1900;1854;1934
532;GSM-1900;1854.2;1934.2
533;GSM-1900;1854.4;1934.4
534;GSM-1900;1854.6;1934.6
535;GSM-1900;1854.8;1934.8
536;GSM-1900;1855;1935
537;GSM-1900;1855.2;1935.2
538;GSM-1900;1855.4;1935.4
539;GSM-1900;1855.6;1935.6
540;GSM-1900;1855.8;1935.8
541;GSM-1900;1856;1936
542;GSM-1900;1856.2;1936.2
543;GSM-1900;1856.4;1936.4
544;GSM-1900;1856.6;1936.6
545;GSM-1900;1856.8;1936.8
546;GSM-1900;1857;1937
547;GSM-1900;1857.2;1937.2
548;GSM-1900;1857.4;1937.4
549;GSM-1900;1857.6;1937.6
550;GSM-1900;1857.8;1937.8
551;GSM-1900;1858;1938
552;GSM-1900;1858.2;1938.2
553;GSM-1900;1858.4;1938.4
554;GSM-1900;1858.6;1938.6
555;GSM-1900;1858.8;1938.8
556;GSM-1900;1859;1939
557;GSM-1900;1859.2;1939.2
